date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2013-07-31,10,10,train,23.2,185.2,175.0,180.1,12.8,1.0
2013-08-30,1,1,train,83.8,662.2,722.3,692.3,-24.0,1.0
2013-08-30,1,5,train,49.1,553.4,1632.2,1092.8,-430.4,1.0
2013-08-30,1,10,train,33.6,528.7,1072.1,800.4,-216.8,1.0
2013-08-30,5,1,train,37.4,452.7,192.7,322.7,231.9,1.0
2013-08-30,5,5,train,28.9,347.3,407.2,377.3,-53.4,1.0
2013-08-30,5,10,train,25.8,296.9,293.2,295.0,3.3,1.0
2013-08-30,10,1,train,23.6,277.1,200.4,238.7,96.8,1.0
2013-08-30,10,5,train,21.7,219.3,264.9,242.1,-57.5,1.0
2013-08-30,10,10,train,22.5,180.0,151.5,165.7,35.9,1.0
2013-09-30,1,1,train,89.6,684.8,679.0,681.9,2.3,1.0
2013-09-30,1,5,train,47.7,596.8,1870.2,1233.5,-508.0,1.0
2013-09-30,1,10,train,32.9,512.1,1040.2,776.2,-210.7,1.0
2013-09-30,5,1,train,38.2,454.0,220.2,337.1,208.5,1.0
2013-09-30,5,5,train,28.6,355.7,516.3,436.0,-143.2,1.0
2013-09-30,5,10,train,25.8,294.2,271.7,283.0,20.1,1.0
2013-09-30,10,1,train,23.9,281.3,120.5,200.9,202.9,1.0
2013-09-30,10,5,train,22.3,221.7,354.6,288.1,-167.7,1.0
2013-09-30,10,10,train,22.9,181.4,186.3,183.9,-6.1,1.0
2013-10-31,1,1,train,90.0,735.3,764.0,749.6,-11.5,1.0
2013-10-31,1,5,train,47.9,602.9,1435.5,1019.2,-332.2,1.0
2013-10-31,1,10,train,32.7,563.1,891.0,727.1,-130.8,1.0
2013-10-31,5,1,train,38.4,435.5,212.4,324.0,199.0,1.0
2013-10-31,5,5,train,29.1,352.6,505.1,428.8,-136.0,1.0
2013-10-31,5,10,train,26.1,306.7,222.6,264.7,75.1,1.0
2013-10-31,10,1,train,23.7,301.8,134.6,218.2,211.0,1.0
2013-10-31,10,5,train,22.0,222.2,249.9,236.1,-34.9,1.0
2013-10-31,10,10,train,22.3,183.8,209.1,196.5,-31.9,1.0
2013-11-29,1,1,train,104.4,773.6,626.4,700.0,58.7,1.0
2013-11-29,1,5,train,49.0,596.8,1703.4,1150.1,-441.4,1.0
2013-11-29,1,10,train,32.2,553.3,793.9,673.6,-96.0,1.0
2013-11-29,5,1,train,39.0,473.8,193.0,333.4,250.5,1.0
2013-11-29,5,5,train,28.9,354.3,507.1,430.7,-136.3,1.0
2013-11-29,5,10,train,25.5,298.2,224.0,261.1,66.2,1.0
2013-11-29,10,1,train,23.5,295.3,118.9,207.1,222.5,1.0
2013-11-29,10,5,train,22.1,237.5,262.2,249.8,-31.1,1.0
2013-11-29,10,10,train,22.6,183.2,216.2,199.7,-41.6,1.0
2013-12-31,1,1,train,87.0,767.0,594.2,680.6,69.0,1.0
2013-12-31,1,5,train,43.9,579.0,1993.0,1286.0,-564.1,1.0
2013-12-31,1,10,train,29.8,519.8,1006.9,763.3,-194.3,1.0
2013-12-31,5,1,train,37.0,455.2,178.1,316.6,247.2,1.0
2013-12-31,5,5,train,28.1,342.3,600.6,471.4,-230.3,1.0
2013-12-31,5,10,train,25.0,292.7,244.3,268.5,43.1,1.0
2013-12-31,10,1,train,23.2,285.6,111.3,198.4,219.9,1.0
2013-12-31,10,5,train,22.0,212.0,327.4,269.7,-145.7,1.0
2013-12-31,10,10,train,22.4,179.3,187.8,183.5,-10.7,1.0
2014-01-31,1,1,train,107.6,729.4,626.6,678.0,41.0,1.0
2014-01-31,1,5,train,48.1,580.6,1398.3,989.5,-326.2,1.0
2014-01-31,1,10,train,31.4,572.9,887.7,730.3,-125.6,1.0
2014-01-31,5,1,train,40.1,461.9,201.4,331.7,232.4,1.0
2014-01-31,5,5,train,29.0,371.1,324.1,347.6,41.9,1.0
2014-01-31,5,10,train,26.0,301.5,285.9,293.7,13.9,1.0
2014-01-31,10,1,train,24.0,288.2,143.7,216.0,182.3,1.0
