model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2022-03-31,1,10,62.5,533.9,471.4,1.0
stable,Stable (dim4),2022-03-31,5,1,105.0,494.2,389.2,1.0
stable,Stable (dim4),2022-03-31,5,5,69.4,337.8,268.4,1.0
stable,Stable (dim4),2022-03-31,5,10,55.7,300.3,244.6,1.0
stable,Stable (dim4),2022-03-31,10,1,55.9,312.6,256.7,1.0
stable,Stable (dim4),2022-03-31,10,5,55.1,210.2,155.1,1.0
stable,Stable (dim4),2022-03-31,10,10,61.2,185.2,124.0,1.0
stable,Stable (dim4),2022-04-29,1,1,72.2,678.3,606.1,1.0
stable,Stable (dim4),2022-04-29,1,5,62.7,505.5,442.8,1.0
stable,Stable (dim4),2022-04-29,1,10,52.7,512.4,459.7,1.0
stable,Stable (dim4),2022-04-29,5,1,59.0,456.9,397.9,1.0
stable,Stable (dim4),2022-04-29,5,5,46.6,321.2,274.6,1.0
stable,Stable (dim4),2022-04-29,5,10,41.4,280.5,239.1,1.0
stable,Stable (dim4),2022-04-29,10,1,36.1,277.2,241.1,1.0
stable,Stable (dim4),2022-04-29,10,5,37.1,209.0,171.9,1.0
stable,Stable (dim4),2022-04-29,10,10,41.6,179.6,138.0,1.0
stable,Stable (dim4),2022-05-31,1,1,64.5,677.1,612.6,1.0
stable,Stable (dim4),2022-05-31,1,5,54.9,497.2,442.3,1.0
stable,Stable (dim4),2022-05-31,1,10,45.0,510.6,465.6,1.0
stable,Stable (dim4),2022-05-31,5,1,49.6,440.6,391.0,1.0
stable,Stable (dim4),2022-05-31,5,5,40.1,324.6,284.5,1.0
stable,Stable (dim4),2022-05-31,5,10,36.0,284.1,248.1,1.0
stable,Stable (dim4),2022-05-31,10,1,31.8,271.8,240.0,1.0
stable,Stable (dim4),2022-05-31,10,5,32.0,202.6,170.6,1.0
stable,Stable (dim4),2022-05-31,10,10,34.1,173.3,139.2,1.0
stable,Stable (dim4),2022-06-30,1,1,68.2,631.7,563.5,1.0
stable,Stable (dim4),2022-06-30,1,5,57.2,494.7,437.5,1.0
stable,Stable (dim4),2022-06-30,1,10,46.0,481.6,435.6,1.0
stable,Stable (dim4),2022-06-30,5,1,44.0,410.6,366.6,1.0
stable,Stable (dim4),2022-06-30,5,5,36.6,305.5,268.9,1.0
stable,Stable (dim4),2022-06-30,5,10,32.5,280.2,247.7,1.0
stable,Stable (dim4),2022-06-30,10,1,29.6,258.1,228.5,1.0
stable,Stable (dim4),2022-06-30,10,5,29.0,198.6,169.6,1.0
stable,Stable (dim4),2022-06-30,10,10,30.9,170.3,139.4,1.0
stable,Stable (dim4),2022-07-29,1,1,107.6,697.7,590.1,1.0
