date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2014-06-30,1,5,50.2,588.1,145.4,537.9,95.2
2014-06-30,1,10,31.8,548.7,123.7,516.9,91.9
2014-06-30,5,1,46.7,466.7,190.4,420.0,143.7
2014-06-30,5,5,32.5,364.2,137.9,331.7,105.4
2014-06-30,5,10,27.7,294.7,106.7,267.0,79.0
2014-06-30,10,1,26.6,290.1,151.2,263.5,124.6
2014-06-30,10,5,24.5,232.0,105.9,207.5,81.4
2014-06-30,10,10,24.1,180.1,86.9,156.0,62.8
2014-07-31,1,1,79.6,714.0,263.4,634.4,183.8
2014-07-31,1,5,50.2,611.7,144.8,561.5,94.6
2014-07-31,1,10,35.1,510.5,124.2,475.4,89.1
2014-07-31,5,1,51.3,444.8,198.2,393.5,146.9
2014-07-31,5,5,34.9,369.4,138.8,334.5,103.9
2014-07-31,5,10,29.8,297.1,109.7,267.3,79.9
2014-07-31,10,1,29.1,293.0,149.3,263.9,120.2
2014-07-31,10,5,26.7,228.3,106.6,201.6,79.9
2014-07-31,10,10,26.4,187.7,87.5,161.3,61.1
2014-08-29,1,1,120.7,710.5,238.6,589.8,117.9
2014-08-29,1,5,59.1,614.8,149.5,555.7,90.4
2014-08-29,1,10,43.5,548.7,134.2,505.2,90.7
2014-08-29,5,1,68.7,471.1,190.7,402.4,122.0
2014-08-29,5,5,43.1,370.7,126.4,327.6,83.3
2014-08-29,5,10,36.5,281.3,113.6,244.8,77.1
2014-08-29,10,1,36.3,297.6,145.1,261.3,108.8
2014-08-29,10,5,32.4,241.2,105.4,208.8,73.0
2014-08-29,10,10,32.1,189.1,95.9,157.0,63.8
2014-09-30,1,1,195.2,724.9,242.1,529.7,46.9
2014-09-30,1,5,56.5,590.7,155.2,534.2,98.7
2014-09-30,1,10,38.3,507.4,125.8,469.1,87.5
2014-09-30,5,1,57.0,473.2,185.4,416.2,128.4
2014-09-30,5,5,37.2,378.0,133.4,340.8,96.2
2014-09-30,5,10,31.2,294.9,115.0,263.7,83.8
2014-09-30,10,1,31.4,281.5,145.6,250.1,114.2
2014-09-30,10,5,28.2,228.1,111.3,199.9,83.1
2014-09-30,10,10,27.3,190.1,92.0,162.8,64.7
2014-10-31,1,1,162.3,734.5,259.1,572.2,96.8
2014-10-31,1,5,54.9,615.1,147.2,560.2,92.3
2014-10-31,1,10,40.5,535.1,139.4,494.6,98.9
2014-10-31,5,1,61.8,467.5,193.7,405.7,131.9
2014-10-31,5,5,38.9,351.1,131.1,312.2,92.2
2014-10-31,5,10,32.6,289.3,121.7,256.7,89.1
2014-10-31,10,1,32.3,300.7,143.8,268.4,111.5
