as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2016-01-29,GBP,-0.10913965106010437,-0.06562408804893494,0.0833333358168602,0.015879880636930466,0.01720908284187317,-0.0013292022049427032,0.0013292022049427032
2016-02-29,GBP,-0.09186898916959763,-0.05615174025297165,0.0833333358168602,0.013629782944917679,0.014711100608110428,-0.001081317663192749,0.001081317663192749
2016-03-31,GBP,-0.10202078521251678,-0.0627162978053093,0.0833333358168602,0.014967473223805428,0.01616593636572361,-0.0011984631419181824,0.0011984631419181824
2016-04-29,GBP,-0.1107914000749588,-0.06884452700614929,0.0833333358168602,0.016123391687870026,0.017408527433872223,-0.0012851357460021973,0.0012851357460021973
2016-05-31,GBP,-0.10582368820905685,-0.06614348292350769,0.0833333358168602,0.015478814020752907,0.016692807897925377,-0.00121399387717247,0.00121399387717247
2016-06-30,GBP,-0.06979644298553467,-0.039774686098098755,0.0833333358168602,0.010683522559702396,0.011557813733816147,-0.0008742911741137505,0.0008742911741137505
2016-07-29,GBP,-0.06155192106962204,-0.036998070776462555,0.0833333358168602,0.009595414623618126,0.010316198691725731,-0.000720784068107605,0.000720784068107605
2016-08-31,GBP,-0.05355534702539444,-0.03321068733930588,0.0833333358168602,0.008524583652615547,0.009126875549554825,-0.0006022918969392776,0.0006022918969392776
2016-09-30,GBP,-0.0590011328458786,-0.0342339351773262,0.0833333358168602,0.00924824271351099,0.009963412769138813,-0.0007151700556278229,0.0007151700556278229
2016-10-31,GBP,-0.08426040410995483,-0.049976006150245667,0.0833333358168602,0.012611576355993748,0.013636615127325058,-0.0010250387713313103,0.0010250387713313103
2016-11-30,GBP,-0.09408567100763321,-0.05447699502110481,0.0833333358168602,0.013890434987843037,0.01508110947906971,-0.0011906744912266731,0.0011906744912266731
2016-12-30,GBP,-0.08558617532253265,-0.05011598765850067,0.0833333358168602,0.01278055552393198,0.01383974589407444,-0.0010591903701424599,0.0010591903701424599
2017-01-31,GBP,-0.09884706884622574,-0.05735691636800766,0.0833333358168602,0.014513444155454636,0.0157668124884367,-0.0012533683329820633,0.0012533683329820633
2017-02-28,GBP,-0.08120810985565186,-0.04595435410737991,0.0833333358168602,0.012189854867756367,0.013230282813310623,-0.0010404279455542564,0.0010404279455542564
2017-03-31,GBP,-0.08460089564323425,-0.049465447664260864,0.0833333358168602,0.012649524956941605,0.013697919435799122,-0.0010483944788575172,0.0010483944788575172
2017-04-28,GBP,-0.0809427797794342,-0.0456884428858757,0.0833333358168602,0.012154055759310722,0.013193540275096893,-0.001039484515786171,0.001039484515786171
2017-05-31,GBP,-0.07910005748271942,-0.04318074882030487,0.0833333358168602,0.011899885721504688,0.012949271127581596,-0.0010493854060769081,0.0010493854060769081
2017-06-30,GBP,-0.095259889960289,-0.0552748367190361,0.0833333358168602,0.014045109041035175,0.015248920768499374,-0.001203811727464199,0.001203811727464199
2017-07-31,GBP,-0.09014402329921722,-0.04955407232046127,0.0833333358168602,0.013348370790481567,0.014554370194673538,-0.0012059994041919708,0.0012059994041919708
2017-08-31,GBP,-0.07988150417804718,-0.04367190599441528,0.0833333358168602,0.012002985924482346,0.013062450103461742,-0.0010594641789793968,0.0010594641789793968
2017-09-29,GBP,-0.102181077003479,-0.06336956471204758,0.0833333358168602,0.014995403587818146,0.016179751604795456,-0.0011843480169773102,0.0011843480169773102
2017-10-31,GBP,-0.10102971643209457,-0.06524928659200668,0.0833333358168602,0.014874374493956566,0.015971703454852104,-0.0010973289608955383,0.0010973289608955383
2017-11-30,GBP,-0.10240799188613892,-0.0672508031129837,0.0833333358168602,0.015069167129695415,0.01615035906434059,-0.001081191934645176,0.001081191934645176
2017-12-29,GBP,-0.093125119805336,-0.061365410685539246,0.0833333358168602,0.013842456974089146,0.014818329364061356,-0.0009758723899722099,0.0009758723899722099
2018-01-31,GBP,-0.11348819732666016,-0.07537949085235596,0.0833333358168602,0.01654023863375187,0.017712775617837906,-0.0011725369840860367,0.0011725369840860367
2018-02-28,GBP,-0.11540618538856506,-0.08055008947849274,0.0833333358168602,0.0168467927724123,0.01792026311159134,-0.001073470339179039,0.001073470339179039
2018-03-30,GBP,-0.1125330924987793,-0.08457890152931213,0.0833333358168602,0.016550982370972633,0.017415311187505722,-0.0008643288165330887,0.0008643288165330887
2018-04-30,GBP,-0.11516117304563522,-0.08205315470695496,0.0833333358168602,0.01683819852769375,0.017858155071735382,-0.0010199565440416336,0.0010199565440416336
2018-05-31,GBP,-0.1065501794219017,-0.07361108809709549,0.0833333358168602,0.015662873163819313,0.016680749133229256,-0.0010178759694099426,0.0010178759694099426
2018-06-29,GBP,-0.11208369582891464,-0.07935014367103577,0.0833333358168602,0.016422059386968613,0.017432887107133865,-0.0010108277201652527,0.0010108277201652527
2018-07-31,GBP,-0.11896626651287079,-0.0864248052239418,0.0833333358168602,0.01736752688884735,0.01836593635380268,-0.00099840946495533,0.00099840946495533
2018-08-31,GBP,-0.116242416203022,-0.08480805158615112,0.0833333358168602,0.017010102048516273,0.01797768659889698,-0.0009675845503807068,0.0009675845503807068
2018-09-28,GBP,-0.12323020398616791,-0.08902490139007568,0.0833333358168602,0.017925530672073364,0.01897117868065834,-0.0010456480085849762,0.0010456480085849762
2018-10-31,GBP,-0.12009153515100479,-0.08706836402416229,0.0833333358168602,0.017514366656541824,0.018526529893279076,-0.0010121632367372513,0.0010121632367372513
2018-11-30,GBP,-0.12167920172214508,-0.0880555808544159,0.0833333358168602,0.017722096294164658,0.018751615658402443,-0.0010295193642377853,0.0010295193642377853
2018-12-31,GBP,-0.11301732063293457,-0.08672751486301422,0.0833333358168602,0.016641229391098022,0.01745385117828846,-0.0008126217871904373,0.0008126217871904373
2019-01-31,GBP,-0.11027141660451889,-0.08282271772623062,0.0833333358168602,0.016246581450104713,0.017098454758524895,-0.0008518733084201813,0.0008518733084201813
2019-02-28,GBP,-0.11522769182920456,-0.08480587601661682,0.0833333358168602,0.01688547246158123,0.01782299019396305,-0.0009375177323818207,0.0009375177323818207
2019-03-29,GBP,-0.09551768749952316,-0.07170853018760681,0.0833333358168602,0.014259940013289452,0.015015482902526855,-0.0007555428892374039,0.0007555428892374039
2019-04-30,GBP,-0.10609405487775803,-0.07924649119377136,0.0833333358168602,0.015680061653256416,0.016517573967576027,-0.0008375123143196106,0.0008375123143196106
2019-05-31,GBP,-0.08881086856126785,-0.06625012308359146,0.0833333358168602,0.013348370790481567,0.014069871045649052,-0.0007215002551674843,0.0007215002551674843
2019-06-28,GBP,-0.08461549878120422,-0.06278235465288162,0.0833333358168602,0.012776259332895279,0.013477666303515434,-0.0007014069706201553,0.0007014069706201553
2019-07-31,GBP,-0.06963056325912476,-0.05023989826440811,0.0833333358168602,0.010731487534940243,0.011355997063219547,-0.0006245095282793045,0.0006245095282793045
2019-08-30,GBP,-0.05531434342265129,-0.04793250188231468,0.0833333358168602,0.008815903216600418,0.009154030121862888,-0.00033812690526247025,0.00033812690526247025
2019-09-30,GBP,-0.056504011154174805,-0.04819052666425705,0.0833333358168602,0.008977671153843403,0.009336314164102077,-0.0003586430102586746,0.0003586430102586746
2019-10-31,GBP,-0.06941553205251694,-0.05633958801627159,0.0833333358168602,0.010746520943939686,0.01121977623552084,-0.00047325529158115387,0.00047325529158115387
2019-11-29,GBP,-0.07489190995693207,-0.05896046757698059,0.0833333358168602,0.011484632268548012,0.012029949575662613,-0.0005453173071146011,0.0005453173071146011
2019-12-31,GBP,-0.08042110502719879,-0.06131502985954285,0.0833333358168602,0.012222790159285069,0.012850923463702202,-0.0006281333044171333,0.0006281333044171333
2020-01-31,GBP,-0.062132950872182846,-0.04985382407903671,0.0833333358168602,0.0097400126978755,0.010190367698669434,-0.00045035500079393387,0.00045035500079393387
2020-02-28,GBP,-0.05332393944263458,-0.042245008051395416,0.0833333358168602,0.008524583652615547,0.008937816135585308,-0.0004132324829697609,0.0004132324829697609
2020-03-31,GBP,-0.04775427281856537,-0.03871791809797287,0.0833333358168602,0.007759456522762775,0.008122432976961136,-0.00036297645419836044,0.00036297645419836044
2020-04-30,GBP,-0.03866739571094513,-0.03338075801730156,0.0833333358168602,0.006504868157207966,0.006782525219023228,-0.00027765706181526184,0.00027765706181526184
2020-05-29,GBP,-0.029500162228941917,-0.021115044131875038,0.0833333358168602,0.005248263478279114,0.005545077845454216,-0.00029681436717510223,0.00029681436717510223
2020-06-30,GBP,-0.026273086667060852,-0.015919987112283707,0.0833333358168602,0.004815352149307728,0.005123920738697052,-0.0003085685893893242,0.0003085685893893242
2020-07-31,GBP,-0.021097078919410706,-0.009477638639509678,0.0833333358168602,0.004122727084904909,0.004415897652506828,-0.0002931705676019192,0.0002931705676019192
2020-08-31,GBP,-0.03013363853096962,-0.010851766914129257,0.0833333358168602,0.005365617107599974,0.005819394253194332,-0.00045377714559435844,0.00045377714559435844
2020-09-30,GBP,-0.025659792125225067,-0.008378647267818451,0.0833333358168602,0.004760971292853355,0.005155273713171482,-0.0003943024203181267,0.0003943024203181267
2020-10-30,GBP,-0.027539778500795364,-0.007946984842419624,0.0833333358168602,0.005020714830607176,0.00545940175652504,-0.00043868692591786385,0.00043868692591786385
2020-11-30,GBP,-0.030555682256817818,-0.009911486878991127,0.0833333358168602,0.005425726063549519,0.005901950411498547,-0.000476224347949028,0.000476224347949028
2020-12-31,GBP,-0.024330854415893555,-0.005871731787919998,0.0833333358168602,0.004589242860674858,0.004988033324480057,-0.00039879046380519867,0.00039879046380519867
2021-01-29,GBP,-0.03328971937298775,-0.009946536272764206,0.0833333358168602,0.005796401761472225,0.006332565099000931,-0.0005361633375287056,0.0005361633375287056
2021-02-26,GBP,-0.06111019104719162,-0.02607661485671997,0.0833333358168602,0.009490188211202621,0.01043105497956276,-0.0009408667683601379,0.0009408667683601379
2021-03-31,GBP,-0.06511306017637253,-0.0285404771566391,0.0833333358168602,0.0100177600979805,0.011015435680747032,-0.000997675582766533,0.000997675582766533
2021-04-30,GBP,-0.06608734279870987,-0.030454307794570923,0.0833333358168602,0.010152341797947884,0.011135457083582878,-0.0009831152856349945,0.0009831152856349945
2021-05-31,GBP,-0.06383645534515381,-0.029160305857658386,0.0833333358168602,0.009855978190898895,0.010805515572428703,-0.000949537381529808,0.000949537381529808
2021-06-30,GBP,-0.06168396770954132,-0.03105449303984642,0.0833333358168602,0.009585392661392689,0.010437002405524254,-0.0008516097441315651,0.0008516097441315651
2021-07-30,GBP,-0.056770388036966324,-0.03418421745300293,0.0833333358168602,0.008954049088060856,0.009614696726202965,-0.0006606476381421089,0.0006606476381421089
2021-08-31,GBP,-0.061866775155067444,-0.038010500371456146,0.0833333358168602,0.009641943499445915,0.010348428040742874,-0.0007064845412969589,0.0007064845412969589
2021-09-30,GBP,-0.08393031358718872,-0.0549483522772789,0.0833333358168602,0.01261444017291069,0.013502364046871662,-0.0008879238739609718,0.0008879238739609718
2021-10-29,GBP,-0.10014194995164871,-0.08590191602706909,0.0833333358168602,0.015021901577711105,0.01549215242266655,-0.00047025084495544434,0.00047025084495544434
2021-11-30,GBP,-0.08596141636371613,-0.07483119517564774,0.0833333358168602,0.013074842281639576,0.013484791852533817,-0.00040994957089424133,0.00040994957089424133
