as_of_date,ccy,z_1,z_2
2014-01-31,EUR,-0.017579455,-0.08537412
2014-02-28,EUR,-0.01623567,-0.08383335
2014-03-31,EUR,-0.015267464,-0.08205575
2014-04-30,EUR,-0.015139171,-0.07905716
2014-05-30,EUR,-0.017519346,-0.07437007
2014-06-30,EUR,-0.019287575,-0.070582904
2014-07-31,EUR,-0.016750865,-0.067183554
2014-08-29,EUR,-0.014754864,-0.055242002
2014-09-30,EUR,-0.020695793,-0.05968841
2014-10-31,EUR,-0.018088879,-0.05605527
2014-11-28,EUR,-0.015544982,-0.049416278
2014-12-31,EUR,-0.013899334,-0.04419422
2015-01-30,EUR,-0.010699699,-0.03562957
2015-02-27,EUR,-0.01346973,-0.036665175
2015-03-31,EUR,-0.008181905,-0.02653636
2015-04-30,EUR,-0.010682811,-0.03234924
2015-05-29,EUR,-0.014908807,-0.04189474
2015-06-30,EUR,-0.019526947,-0.055521075
